id,name,Protocol,Kx,Au,Enc,Bits,Mac,Auth Strength,Enc Strength,Overall
000000,TLS_NULL_WITH_NULL_NULL,TLS,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
000001,TLS_RSA_WITH_NULL_MD5,TLS,RSA,RSA,NULL,0,MD5,HIGH,NULL,NULL
000002,TLS_RSA_WITH_NULL_SHA,TLS,RSA,RSA,NULL,0,SHA,HIGH,NULL,NULL
000003,TLS_RSA_EXPORT_WITH_RC4_40_MD5,TLS,RSA_EXPORT,RSA_EXPORT,RC4_40,40,MD5,EXPORT,EXPORT,EXPORT
000004,TLS_RSA_WITH_RC4_128_MD5,TLS,RSA,RSA,RC4_128,128,MD5,HIGH,MEDIUM,MEDIUM
000005,TLS_RSA_WITH_RC4_128_SHA,TLS,RSA,RSA,RC4_128,128,SHA,HIGH,MEDIUM,MEDIUM
000006,TLS_RSA_EXPORT_WITH_RC2_CBC_40_MD5,TLS,RSA_EXPORT,RSA_EXPORT,RC2_CBC_40,40,MD5,EXPORT,EXPORT,EXPORT
000007,TLS_RSA_WITH_IDEA_CBC_SHA,TLS,RSA,RSA,IDEA_CBC,128,SHA,HIGH,HIGH,HIGH
000008,TLS_RSA_EXPORT_WITH_DES40_CBC_SHA,TLS,RSA_EXPORT,RSA_EXPORT,DES40_CBC,40,SHA,EXPORT,EXPORT,EXPORT
000009,TLS_RSA_WITH_DES_CBC_SHA,TLS,RSA,RSA,DES_CBC,56,SHA,HIGH,LOW,LOW
00000A,TLS_RSA_WITH_3DES_EDE_CBC_SHA,TLS,RSA,RSA,3DES_EDE_CBC,168,SHA,HIGH,HIGH,HIGH
00000B,TLS_DH_DSS_EXPORT_WITH_DES40_CBC_SHA,TLS,DH,DSS,DES40_CBC,40,SHA,HIGH,EXPORT,EXPORT
00000C,TLS_DH_DSS_WITH_DES_CBC_SHA,TLS,DH,DSS,DES_CBC,56,SHA,HIGH,LOW,LOW
00000D,TLS_DH_DSS_WITH_3DES_EDE_CBC_SHA,TLS,DH,DSS,3DES_EDE_CBC,168,SHA,HIGH,HIGH,HIGH
00000E,TLS_DH_RSA_EXPORT_WITH_DES40_CBC_SHA,TLS,DH,RSA,DES40_CBC,40,SHA,HIGH,EXPORT,EXPORT
00000F,TLS_DH_RSA_WITH_DES_CBC_SHA,TLS,DH,RSA,DES_CBC,56,SHA,HIGH,LOW,LOW
000010,TLS_DH_RSA_WITH_3DES_EDE_CBC_SHA,TLS,DH,RSA,3DES_EDE_CBC,168,SHA,HIGH,HIGH,HIGH
000011,TLS_DHE_DSS_EXPORT_WITH_DES40_CBC_SHA,TLS,DHE,DSS,DES40_CBC,40,SHA,HIGH,EXPORT,EXPORT
000012,TLS_DHE_DSS_WITH_DES_CBC_SHA,TLS,DHE,DSS,DES_CBC,56,SHA,HIGH,LOW,LOW
000013,TLS_DHE_DSS_WITH_3DES_EDE_CBC_SHA,TLS,DHE,DSS,3DES_EDE_CBC,168,SHA,HIGH,HIGH,HIGH
000014,TLS_DHE_RSA_EXPORT_WITH_DES40_CBC_SHA,TLS,DHE,RSA,DES40_CBC,40,SHA,HIGH,EXPORT,EXPORT
000015,TLS_DHE_RSA_WITH_DES_CBC_SHA,TLS,DHE,RSA,DES_CBC,56,SHA,HIGH,LOW,LOW
000016,TLS_DHE_RSA_WITH_3DES_EDE_CBC_SHA,TLS,DHE,RSA,3DES_EDE_CBC,168,SHA,HIGH,HIGH,HIGH
000017,TLS_DH_Anon_EXPORT_WITH_RC4_40_MD5,TLS,DH,Anon,RC4_40,40,MD5,MiM,EXPORT,EXPORT
000018,TLS_DH_Anon_WITH_RC4_128_MD5,TLS,DH,Anon,RC4_128,128,MD5,MiM,MEDIUM,MiM
000019,TLS_DH_Anon_EXPORT_WITH_DES40_CBC_SHA,TLS,DH,Anon,DES40_CBC,40,SHA,MiM,EXPORT,EXPORT
00001A,TLS_DH_Anon_WITH_DES_CBC_SHA,TLS,DH,Anon,DES_CBC,56,SHA,MiM,LOW,MiM
00001B,TLS_DH_Anon_WITH_3DES_EDE_CBC_SHA,TLS,DH,Anon,3DES_EDE_CBC,168,SHA,MiM,HIGH,MiM
00001C,SSL_FORTEZZA_KEA_WITH_NULL_SHA,SSL,FORTEZZA,KEA,NULL,0,SHA,HIGH,NULL,NULL
00001D,SSL_FORTEZZA_KEA_WITH_FORTEZZA_CBC_SHA,SSL,FORTEZZA,KEA,FORTEZZA_CBC,80,SHA,HIGH,HIGH,HIGH
00001E,TLS_KRB5_WITH_DES_CBC_SHA,TLS,KRB5,KRB5,DES_CBC,56,SHA,HIGH,LOW,LOW
00001F,TLS_KRB5_WITH_3DES_EDE_CBC_SHA,TLS,KRB5,KRB5,3DES_EDE_CBC,168,SHA,HIGH,HIGH,HIGH
000020,TLS_KRB5_WITH_RC4_128_SHA,TLS,KRB5,KRB5,RC4_128,128,SHA,HIGH,MEDIUM,MEDIUM
000021,TLS_KRB5_WITH_IDEA_CBC_SHA,TLS,KRB5,KRB5,IDEA_CBC,128,SHA,HIGH,HIGH,HIGH
000022,TLS_KRB5_WITH_DES_CBC_MD5,TLS,KRB5,KRB5,DES_CBC,56,MD5,HIGH,LOW,LOW
000023,TLS_KRB5_WITH_3DES_EDE_CBC_MD5,TLS,KRB5,KRB5,3DES_EDE_CBC,168,MD5,HIGH,HIGH,HIGH
000024,TLS_KRB5_WITH_RC4_128_MD5,TLS,KRB5,KRB5,RC4_128,128,MD5,HIGH,MEDIUM,MEDIUM
000025,TLS_KRB5_WITH_IDEA_CBC_MD5,TLS,KRB5,KRB5,IDEA_CBC,128,MD5,HIGH,HIGH,HIGH
000026,TLS_KRB5_EXPORT_WITH_DES_CBC_40_SHA,TLS,KRB5_EXPORT,KRB5_EXPORT,DES_CBC_40,40,SHA,EXPORT,EXPORT,EXPORT
000027,TLS_KRB5_EXPORT_WITH_RC2_CBC_40_SHA,TLS,KRB5_EXPORT,KRB5_EXPORT,RC2_CBC_40,40,SHA,EXPORT,EXPORT,EXPORT
000028,TLS_KRB5_EXPORT_WITH_RC4_40_SHA,TLS,KRB5_EXPORT,KRB5_EXPORT,RC4_40,40,SHA,EXPORT,EXPORT,EXPORT
000029,TLS_KRB5_EXPORT_WITH_DES_CBC_40_MD5,TLS,KRB5_EXPORT,KRB5_EXPORT,DES_CBC_40,40,MD5,EXPORT,EXPORT,EXPORT
00002A,TLS_KRB5_EXPORT_WITH_RC2_CBC_40_MD5,TLS,KRB5_EXPORT,KRB5_EXPORT,RC2_CBC_40,40,MD5,EXPORT,EXPORT,EXPORT
00002B,TLS_KRB5_EXPORT_WITH_RC4_40_MD5,TLS,KRB5_EXPORT,KRB5_EXPORT,RC4_40,40,MD5,EXPORT,EXPORT,EXPORT
00002C,TLS_PSK_WITH_NULL_SHA,TLS,PSK,PSK,NULL,0,SHA,HIGH,NULL,NULL
00002D,TLS_DHE_PSK_WITH_NULL_SHA,TLS,DHE,PSK,NULL,0,SHA,HIGH,NULL,NULL
00002E,TLS_RSA_PSK_WITH_NULL_SHA,TLS,RSA,PSK,NULL,0,SHA,HIGH,NULL,NULL
00002F,TLS_RSA_WITH_AES_128_CBC_SHA,TLS,RSA,RSA,AES_128_CBC,128,SHA,HIGH,HIGH,HIGH
000030,TLS_DH_DSS_WITH_AES_128_CBC_SHA,TLS,DH,DSS,AES_128_CBC,128,SHA,HIGH,HIGH,HIGH
000031,TLS_DH_RSA_WITH_AES_128_CBC_SHA,TLS,DH,RSA,AES_128_CBC,128,SHA,HIGH,HIGH,HIGH
000032,TLS_DHE_DSS_WITH_AES_128_CBC_SHA,TLS,DHE,DSS,AES_128_CBC,128,SHA,HIGH,HIGH,HIGH
000033,TLS_DHE_RSA_WITH_AES_128_CBC_SHA,TLS,DHE,RSA,AES_128_CBC,128,SHA,HIGH,HIGH,HIGH
000034,TLS_DH_Anon_WITH_AES_128_CBC_SHA,TLS,DH,Anon,AES_128_CBC,128,SHA,MiM,HIGH,MiM
000035,TLS_RSA_WITH_AES_256_CBC_SHA,TLS,RSA,RSA,AES_256_CBC,256,SHA,HIGH,HIGH,HIGH
000036,TLS_DH_DSS_WITH_AES_256_CBC_SHA,TLS,DH,DSS,AES_256_CBC,256,SHA,HIGH,HIGH,HIGH
000037,TLS_DH_RSA_WITH_AES_256_CBC_SHA,TLS,DH,RSA,AES_256_CBC,256,SHA,HIGH,HIGH,HIGH
000038,TLS_DHE_DSS_WITH_AES_256_CBC_SHA,TLS,DHE,DSS,AES_256_CBC,256,SHA,HIGH,HIGH,HIGH
000039,TLS_DHE_RSA_WITH_AES_256_CBC_SHA,TLS,DHE,RSA,AES_256_CBC,256,SHA,HIGH,HIGH,HIGH
00003A,TLS_DH_Anon_WITH_AES_256_CBC_SHA,TLS,DH,Anon,AES_256_CBC,256,SHA,MiM,HIGH,MiM
00003B,TLS_RSA_WITH_NULL_SHA256,TLS,RSA,RSA,NULL,0,SHA256,HIGH,NULL,NULL
00003C,TLS_RSA_WITH_AES_128_CBC_SHA256,TLS,RSA,RSA,AES_128_CBC,128,SHA256,HIGH,HIGH,HIGH
00003D,TLS_RSA_WITH_AES_256_CBC_SHA256,TLS,RSA,RSA,AES_256_CBC,256,SHA256,HIGH,HIGH,HIGH
00003E,TLS_DH_DSS_WITH_AES_128_CBC_SHA256,TLS,DH,DSS,AES_128_CBC,128,SHA256,HIGH,HIGH,HIGH
00003F,TLS_DH_RSA_WITH_AES_128_CBC_SHA256,TLS,DH,RSA,AES_128_CBC,128,SHA256,HIGH,HIGH,HIGH
000040,TLS_DHE_DSS_WITH_AES_128_CBC_SHA256,TLS,DHE,DSS,AES_128_CBC,128,SHA256,HIGH,HIGH,HIGH
000041,TLS_RSA_WITH_CAMELLIA_128_CBC_SHA,TLS,RSA,RSA,CAMELLIA_128_CBC,128,SHA,HIGH,HIGH,HIGH
000042,TLS_DH_DSS_WITH_CAMELLIA_128_CBC_SHA,TLS,DH,DSS,CAMELLIA_128_CBC,128,SHA,HIGH,HIGH,HIGH
000043,TLS_DH_RSA_WITH_CAMELLIA_128_CBC_SHA,TLS,DH,RSA,CAMELLIA_128_CBC,128,SHA,HIGH,HIGH,HIGH
